curve_id,fuel_mM,sub_uM,rh_uM,mb_uM,t_min,nah_uM
fuel_20mM,20.0,80,40,0,0.0,0.0
fuel_20mM,20.0,80,40,0,0.33,0.2
fuel_20mM,20.0,80,40,0,1.05,1.6
fuel_20mM,20.0,80,40,0,3.0,5.6
fuel_20mM,20.0,80,40,0,5.0,9.8
fuel_20mM,20.0,80,40,0,10.0,19.8
fuel_20mM,20.0,80,40,0,15.0,28.599999999999998
fuel_20mM,20.0,80,40,0,20.0,36.0
fuel_20mM,20.0,80,40,0,25.0,41.8
fuel_20mM,20.0,80,40,0,30.0,46.6
fuel_20mM,20.0,80,40,0,35.0,49.4
fuel_20mM,20.0,80,40,0,40.0,51.4
fuel_20mM,20.0,80,40,0,45.0,52.6
fuel_20mM,20.0,80,40,0,50.0,53.2
fuel_20mM,20.0,80,40,0,55.0,53.6
fuel_20mM,20.0,80,40,0,60.0,53.6
fuel_10mM,10.0,80,40,0,0.0,0.0
fuel_10mM,10.0,80,40,0,1.16,1.6
fuel_10mM,10.0,80,40,0,3.0,3.8
fuel_10mM,10.0,80,40,0,5.33,7.199999999999999
fuel_10mM,10.0,80,40,0,10.0,13.8
fuel_10mM,10.0,80,40,0,15.0,20.799999999999997
fuel_10mM,10.0,80,40,0,20.0,26.8
fuel_10mM,10.0,80,40,0,25.0,32.4
fuel_10mM,10.0,80,40,0,30.0,36.8
fuel_10mM,10.0,80,40,0,35.0,40.8
fuel_10mM,10.0,80,40,0,40.0,44.0
fuel_10mM,10.0,80,40,0,45.0,46.4
fuel_10mM,10.0,80,40,0,50.0,48.4
fuel_10mM,10.0,80,40,0,55.0,50.0
fuel_10mM,10.0,80,40,0,60.0,50.8
fuel_5mM,5.0,80,40,0,0.0,0.0
fuel_5mM,5.0,80,40,0,0.58,1.6
fuel_5mM,5.0,80,40,0,1.2,2.1999999999999997
fuel_5mM,5.0,80,40,0,3.0,3.2
fuel_5mM,5.0,80,40,0,5.0,4.2
fuel_5mM,5.0,80,40,0,10.0,7.199999999999999
fuel_5mM,5.0,80,40,0,15.0,9.8
fuel_5mM,5.0,80,40,0,20.0,11.4
fuel_5mM,5.0,80,40,0,25.0,12.4
fuel_5mM,5.0,80,40,0,30.0,14.799999999999999
fuel_5mM,5.0,80,40,0,35.0,17.0
fuel_5mM,5.0,80,40,0,40.0,19.0
fuel_5mM,5.0,80,40,0,45.0,20.799999999999997
fuel_5mM,5.0,80,40,0,50.0,22.6
fuel_5mM,5.0,80,40,0,55.0,24.0
fuel_5mM,5.0,80,40,0,60.0,25.4
fuel_2p5mM,2.5,80,40,0,0.0,0.0
