epoch,val_r2_mean,val_r2_sd,train_loss_mean
100,0.958856,0.022036,5.291836e-04
200,0.973422,0.013553,3.292784e-04
300,0.976033,0.011451,3.817949e-04
400,0.977887,0.01052,3.655041e-04
500,0.979266,0.010322,3.987796e-04
600,0.9797,0.009098,4.481483e-04
700,0.979039,0.010002,3.023056e-04
800,0.978956,0.010445,2.152193e-04
900,0.982136,0.008419,2.884114e-04
1000,0.980609,0.010442,4.264254e-04
1100,0.982507,0.007603,6.076380e-04
1200,0.9817,0.008301,2.592183e-04
1300,0.983209,0.007142,2.349555e-04
1400,0.983428,0.007169,2.981467e-04
1500,0.983946,0.007416,1.884723e-04
1600,0.983611,0.007365,2.120556e-04
1700,0.984168,0.008211,2.768603e-04
1800,0.984359,0.008578,1.652559e-04
1900,0.983642,0.010693,4.130780e-04
2000,0.985068,0.006759,2.236528e-04
2100,0.985905,0.006699,1.851431e-04
2200,0.985446,0.007791,1.651843e-04
2300,0.985886,0.006828,1.328209e-04
2400,0.98546,0.007014,3.283386e-04
2500,0.986729,0.006649,3.469330e-04
2600,0.986248,0.006165,1.723352e-04
2700,0.986274,0.006626,1.296336e-04
2800,0.986121,0.007309,2.226554e-04
2900,0.987088,0.006123,4.534471e-04
3000,0.986809,0.006193,1.005811e-04
3100,0.986902,0.006224,1.549302e-04
3200,0.987312,0.006014,1.706738e-04
3300,0.98713,0.006273,2.021792e-04
3400,0.987442,0.006518,2.417449e-04
3500,0.987772,0.005844,1.333182e-04
3600,0.988269,0.006023,2.473939e-04
3700,0.988142,0.005998,1.364992e-04
3800,0.987943,0.006041,9.478877e-05
3900,0.986945,0.005652,1.011187e-04
4000,0.987338,0.005429,1.080508e-04
