split,r2_pinn,r2_ode
0,0.9643362938814112,0.897516
1,0.9567093106826381,0.924049
2,0.9894048131045841,0.924488
3,0.9825646068403825,0.915694
4,0.975570995548504,0.920992
5,0.9888656433517223,0.907604
6,0.984674842974323,0.944267
7,0.9765423779383644,0.936171
8,0.9817656788871615,0.930605
9,0.9779495116980546,0.903457
10,0.9753595630378391,0.920215
11,0.9886402181189382,0.942305
12,0.9890824376220013,0.948498
13,0.9768420574160508,0.923541
14,0.9843290717599863,0.920541
15,0.9781986730327595,0.927658
16,0.9712094700187662,0.92127
17,0.9744802671717568,0.924943
18,0.9873676346390906,0.946856
19,0.9796450427291526,0.950785
20,0.9782333124698439,0.922024
21,0.9840002881728389,0.935975
22,0.9848366367078265,0.942511
23,0.9857411101936113,0.932022
24,0.9890629952604607,0.944325
25,0.9772488210166838,0.943966
26,0.9804053101584234,0.916757
27,0.9805272982014537,0.92433
28,0.9834459734292436,0.912108
29,0.9842285312100074,0.937427
30,0.9883335325712643,0.932416
31,0.967802525863309,0.920006
32,0.9777728441798597,0.909271
33,0.9775397265708926,0.907024
34,0.9794375772126566,0.931023
35,0.9809356165183258,0.932204
36,0.9805854708322923,0.952903
37,0.9650638124642246,0.930533
38,0.9802876199404494,0.925459
39,0.9733363656040822,0.922033
40,0.9870850684361318,0.918813
41,0.9732554797999798,0.923213
42,0.9812934391375591,0.933314
43,0.9789073695383617,0.916984
44,0.9724092023604849,0.925687
45,0.9798653503974475,0.91273
46,0.981869608260137,0.940149
47,0.9889222490166079,0.9024
48,0.9687266385148586,0.91397
49,0.9480356066284131,0.899052
